run_ts_ist,location,lat,lon,line,obs_time,precip_mm,rain_mm,source
2026-06-26 02:22:48,Matunga,19.027,72.852,CR-hotspot,2026-06-26T02:15,0.0,0.0,open-meteo
2026-06-26 03:46:20,Churchgate,18.935,72.827,WR,2026-06-26T03:45,0.0,0.0,open-meteo
2026-06-26 03:46:20,Dadar,19.018,72.844,WR/CR,2026-06-26T03:45,0.0,0.0,open-meteo
2026-06-26 03:46:20,Andheri,19.119,72.846,WR,2026-06-26T03:45,0.0,0.0,open-meteo
2026-06-26 03:46:20,Borivali,19.231,72.857,WR,,,,open-meteo-ERR
2026-06-26 03:46:20,Virar,19.455,72.811,WR,2026-06-26T03:45,0.0,0.0,open-meteo
2026-06-26 03:46:20,CSMT,18.94,72.835,CR,2026-06-26T03:45,0.0,0.0,open-meteo
2026-06-26 03:46:20,Sion,19.043,72.862,CR-hotspot,2026-06-26T03:45,0.0,0.0,open-meteo
2026-06-26 03:46:20,Kurla,19.065,72.879,CR-hotspot,,,,open-meteo-ERR
2026-06-26 03:46:20,Thane,19.186,72.975,CR,2026-06-26T03:45,0.0,0.0,open-meteo
2026-06-26 03:46:20,Kalyan,19.243,73.13,CR,2026-06-26T03:45,0.0,0.0,open-meteo
2026-06-26 03:46:20,Chunnabhatti,19.046,72.875,Harbour-hotspot,2026-06-26T03:45,0.0,0.0,open-meteo
2026-06-26 03:46:20,Matunga,19.027,72.852,CR-hotspot,,,,open-meteo-ERR
2026-06-26 05:19:58,Churchgate,18.935,72.827,WR,2026-06-26T05:15,0.0,0.0,open-meteo
2026-06-26 05:19:58,Dadar,19.018,72.844,WR/CR,2026-06-26T05:15,0.0,0.0,open-meteo
2026-06-26 05:19:58,Andheri,19.119,72.846,WR,2026-06-26T05:15,0.0,0.0,open-meteo
2026-06-26 05:19:58,Borivali,19.231,72.857,WR,,,,open-meteo-ERR
2026-06-26 05:19:58,Virar,19.455,72.811,WR,2026-06-26T05:15,0.0,0.0,open-meteo
2026-06-26 05:19:58,CSMT,18.94,72.835,CR,2026-06-26T05:15,0.0,0.0,open-meteo
2026-06-26 05:19:58,Sion,19.043,72.862,CR-hotspot,2026-06-26T05:15,0.0,0.0,open-meteo
2026-06-26 05:19:58,Kurla,19.065,72.879,CR-hotspot,,,,open-meteo-ERR
2026-06-26 05:19:58,Thane,19.186,72.975,CR,2026-06-26T05:15,0.0,0.0,open-meteo
2026-06-26 05:19:58,Kalyan,19.243,73.13,CR,2026-06-26T05:15,0.0,0.0,open-meteo
2026-06-26 05:19:58,Chunnabhatti,19.046,72.875,Harbour-hotspot,2026-06-26T05:15,0.0,0.0,open-meteo
2026-06-26 05:19:58,Matunga,19.027,72.852,CR-hotspot,2026-06-26T05:15,0.0,0.0,open-meteo
2026-06-26 08:04:53,Churchgate,18.935,72.827,WR,2026-06-26T08:00,0.0,0.0,open-meteo
2026-06-26 08:04:53,Dadar,19.018,72.844,WR/CR,2026-06-26T08:00,0.0,0.0,open-meteo
2026-06-26 08:04:53,Andheri,19.119,72.846,WR,2026-06-26T08:00,0.1,0.0,open-meteo
2026-06-26 08:04:53,Borivali,19.231,72.857,WR,2026-06-26T08:00,0.2,0.1,open-meteo
2026-06-26 08:04:53,Virar,19.455,72.811,WR,,,,open-meteo-ERR
2026-06-26 08:04:53,CSMT,18.94,72.835,CR,2026-06-26T08:00,0.0,0.0,open-meteo
2026-06-26 08:04:53,Sion,19.043,72.862,CR-hotspot,2026-06-26T08:00,0.0,0.0,open-meteo
2026-06-26 08:04:53,Kurla,19.065,72.879,CR-hotspot,2026-06-26T08:00,0.1,0.0,open-meteo
2026-06-26 08:04:53,Thane,19.186,72.975,CR,2026-06-26T08:00,0.0,0.0,open-meteo
2026-06-26 08:04:53,Kalyan,19.243,73.13,CR,2026-06-26T08:00,0.0,0.0,open-meteo
2026-06-26 08:04:53,Chunnabhatti,19.046,72.875,Harbour-hotspot,,,,open-meteo-ERR
2026-06-26 08:04:53,Matunga,19.027,72.852,CR-hotspot,2026-06-26T08:00,0.0,0.0,open-meteo
2026-06-26 12:15:56,Churchgate,18.935,72.827,WR,2026-06-26T12:15,0.0,0.0,open-meteo
2026-06-26 12:15:56,Dadar,19.018,72.844,WR/CR,2026-06-26T12:15,0.0,0.0,open-meteo
2026-06-26 12:15:56,Andheri,19.119,72.846,WR,2026-06-26T12:15,0.0,0.0,open-meteo
2026-06-26 12:15:56,Borivali,19.231,72.857,WR,2026-06-26T12:15,0.0,0.0,open-meteo
2026-06-26 12:15:56,Virar,19.455,72.811,WR,,,,open-meteo-ERR
2026-06-26 12:15:56,CSMT,18.94,72.835,CR,2026-06-26T12:15,0.0,0.0,open-meteo
2026-06-26 12:15:56,Sion,19.043,72.862,CR-hotspot,2026-06-26T12:15,0.0,0.0,open-meteo
